Результат расчета с распределением uniform
X:73.950 Y:77.222 Z:76.326  
X:80.330 Y:73.727 Z:80.208  
X:78.021 Y:78.488 Z:77.587  
X:66.734 Y:54.456 Z:75.538  
X:71.837 Y:73.609 Z:76.046  
X:79.992 Y:82.220 Z:74.142  
X:74.186 Y:77.721 Z:80.095  
X:68.909 Y:62.129 Z:69.290  
X:81.207 Y:84.097 Z:57.533  
X:43.725 Y:48.337 Z:62.698  
X:267.373 Y:111.692 Z:108.341  
X:98.657 Y:91.528 Z:87.551  
X:84.312 Y:87.477 Z:82.956  
X:95.140 Y:86.695 Z:90.313  
X:93.440 Y:95.791 Z:92.920  
X:90.329 Y:79.289 Z:96.260  
X:97.323 Y:92.671 Z:96.285  
X:95.386 Y:105.917 Z:107.954  
X:132.232 Y:141.649 Z:128.957  
X:125.097 Y:116.714 Z:115.571  
X:119.117 Y:121.616 Z:113.997  
X:120.471 Y:89.878 Z:67.786  
X:93.706 Y:318.526 Z:131.579  
X:116.886 Y:104.341 Z:95.002  
X:90.015 Y:88.022 Z:95.186  
X:88.094 Y:91.009 Z:92.589  
X:98.741 Y:95.440 Z:101.705  
X:102.043 Y:97.304 Z:85.741  
X:145.109 Y:115.097 Z:118.387  
X:121.583 Y:139.443 Z:175.245  
X:156.158 Y:142.679 Z:132.752  
X:117.305 Y:108.225 Z:95.504  
X:118.277 Y:138.423 Z:165.024  
X:239.210 Y:136.510 Z:111.801  
X:91.063 Y:173.632 Z:380.362  
X:146.298 Y:135.119 Z:127.545  
X:108.488 Y:93.467 Z:92.427  
X:100.857 Y:110.328 Z:113.029  
X:93.130 Y:103.610 Z:99.290  
X:96.909 Y:94.358 Z:93.797  
X:87.198 Y:183.468 Z:135.517  
X:139.329 Y:167.321 Z:173.527  
X:158.873 Y:138.861 Z:116.024  
X:95.583 Y:84.620 Z:120.668  
X:130.927 Y:140.531 Z:151.281  
X:165.890 Y:203.355 Z:172.815  
X:137.274 Y:99.137 Z:74.392  
X:481.194 Y:161.693 Z:145.067  
X:127.465 Y:123.901 Z:110.819  
X:109.752 Y:114.987 Z:116.270  
X:122.391 Y:122.361 Z:119.329  
X:122.259 Y:122.554 Z:129.110  
X:127.749 Y:94.127 Z:213.267  
X:145.327 Y:192.252 Z:184.516  
X:131.269 Y:123.056 Z:127.448  
X:129.475 Y:135.138 Z:139.776  
X:146.074 Y:153.039 Z:162.142  
X:168.887 Y:180.454 Z:204.204  
X:175.900 Y:146.804 Z:99.721  
X:116.387 Y:497.134 Z:152.204  
X:145.610 Y:135.783 Z:140.041  
X:141.024 Y:136.886 Z:136.257  
X:135.200 Y:123.499 Z:122.775  
X:133.820 Y:129.543 Z:127.221  
X:135.957 Y:123.381 Z:130.951  
X:226.456 Y:170.468 Z:193.105  
X:134.997 Y:135.491 Z:140.813  
X:137.455 Y:142.240 Z:149.513  
X:151.783 Y:160.710 Z:164.910  
X:174.590 Y:177.287 Z:186.485  
X:165.598 Y:203.056 Z:142.317  
X:96.375 Y:158.274 Z:548.874  
X:151.086 Y:160.604 Z:158.451  
X:147.229 Y:150.133 Z:145.862  
X:146.459 Y:152.524 Z:146.967  
X:145.768 Y:142.651 Z:145.517  
X:144.059 Y:143.791 Z:136.727  
X:136.703 Y:190.770 Z:236.312  
X:146.063 Y:139.833 Z:143.345  
X:148.329 Y:150.520 Z:152.470  
X:161.054 Y:164.462 Z:173.679  
X:183.728 Y:186.156 Z:178.678  
X:175.611 Y:187.431 Z:226.763  
X:141.894 Y:100.562 Z:197.929  
X:601.456 Y:167.664 Z:174.734  
X:164.076 Y:156.254 Z:143.517  
X:144.900 Y:164.835 Z:158.103  
X:156.805 Y:156.490 Z:154.244  
X:157.187 Y:156.791 Z:161.207  
X:162.628 Y:165.486 Z:159.560  
X:153.881 Y:154.684 Z:156.397  
X:154.071 Y:159.424 Z:161.518  
X:162.400 Y:169.726 Z:172.939  
X:183.379 Y:184.829 Z:181.813  
X:184.862 Y:189.908 Z:229.658  
X:210.144 Y:129.613 Z:99.454  
X:242.655 Y:693.371 Z:175.893  
X:169.255 Y:141.619 Z:143.358  
X:140.595 Y:151.326 Z:147.543  
X:166.464 Y:163.527 Z:166.537  
X:174.598 Y:163.835 Z:168.353  
X:163.853 Y:149.424 Z:163.745  
X:288.480 Y:266.690 Z:171.756  
X:166.389 Y:168.905 Z:173.192  
X:173.818 Y:176.357 Z:182.566  
X:183.733 Y:192.728 Z:192.703  
X:193.783 Y:201.556 Z:231.895  
X:270.455 Y:159.440 Z:122.638  
X:95.644 Y:256.458 Z:544.092  
X:140.367 Y:138.742 Z:152.513  
X:154.874 Y:151.329 Z:162.208  
X:152.405 Y:157.041 Z:160.416  
X:159.543 Y:185.073 Z:161.875  
X:150.252 Y:158.905 Z:164.163  
X:213.379 Y:210.943 Z:196.698  
X:246.585 Y:208.129 Z:184.199  
X:181.449 Y:185.246 Z:189.204  
X:194.129 Y:194.416 Z:196.611  
X:203.719 Y:225.731 Z:255.344  
X:278.581 Y:164.294 Z:136.210  
